event_id,entry_time,exit_time,vehicle_type,parking_spot,location,duration_minutes,fee_amount,payment_method,user_type
1,2024-01-15 07:30:00,2024-01-15 17:45:00,car,A001,Downtown Plaza,615,24.60,credit_card,regular
2,2024-01-15 07:45:00,2024-01-15 12:30:00,motorcycle,B015,Downtown Plaza,285,5.70,mobile_app,premium
3,2024-01-15 08:00:00,2024-01-15 09:15:00,car,C032,Shopping Mall,75,3.75,cash,regular
4,2024-01-15 08:15:00,2024-01-15 18:30:00,car,A007,Downtown Plaza,615,24.60,credit_card,regular
5,2024-01-15 08:30:00,2024-01-15 11:45:00,bicycle,D050,University Campus,195,0.00,free,student
6,2024-01-15 09:00:00,2024-01-15 21:00:00,car,E025,Airport Terminal,720,45.00,credit_card,regular
7,2024-01-15 09:15:00,2024-01-15 17:00:00,van,B008,Shopping Mall,465,18.60,mobile_app,business
8,2024-01-15 09:30:00,2024-01-15 10:30:00,motorcycle,C018,Downtown Plaza,60,1.20,mobile_app,premium
9,2024-01-15 10:00:00,2024-01-15 19:30:00,car,D033,University Campus,570,11.40,student_card,student
10,2024-01-15 10:15:00,2024-01-15 14:45:00,truck,F012,Industrial Zone,270,13.50,credit_card,business
11,2024-01-15 10:30:00,2024-01-15 12:00:00,car,A015,Downtown Plaza,90,4.50,mobile_app,premium
12,2024-01-15 11:00:00,2024-01-15 16:30:00,car,G041,Hospital,330,16.50,credit_card,regular
13,2024-01-15 11:15:00,2024-01-15 13:30:00,bicycle,D055,University Campus,135,0.00,free,student
14,2024-01-15 11:30:00,2024-01-15 23:45:00,car,E031,Airport Terminal,735,50.00,credit_card,regular
15,2024-01-15 12:00:00,2024-01-15 18:15:00,car,B022,Shopping Mall,375,15.00,mobile_app,regular
16,2024-01-15 12:15:00,2024-01-15 13:00:00,motorcycle,C005,Downtown Plaza,45,0.90,mobile_app,premium
17,2024-01-15 12:30:00,2024-01-15 20:45:00,van,F018,Industrial Zone,495,24.75,credit_card,business
18,2024-01-15 13:00:00,2024-01-15 17:30:00,car,A023,Downtown Plaza,270,13.50,cash,regular
19,2024-01-15 13:15:00,2024-01-15 15:45:00,car,G028,Hospital,150,7.50,credit_card,regular
20,2024-01-15 13:30:00,2024-01-15 14:15:00,bicycle,D048,University Campus,45,0.00,free,student
21,2024-01-15 14:00:00,2024-01-15 22:30:00,car,E019,Airport Terminal,510,35.00,mobile_app,regular
22,2024-01-15 14:15:00,2024-01-15 19:00:00,car,B035,Shopping Mall,285,11.40,credit_card,regular
23,2024-01-15 14:30:00,2024-01-15 16:00:00,motorcycle,C011,Downtown Plaza,90,1.80,mobile_app,premium
24,2024-01-15 15:00:00,2024-01-15 18:45:00,truck,F025,Industrial Zone,225,11.25,credit_card,business
25,2024-01-15 15:15:00,2024-01-15 17:15:00,car,D039,University Campus,120,2.40,student_card,student
26,2024-01-16 06:45:00,2024-01-16 16:30:00,car,A002,Downtown Plaza,585,23.40,mobile_app,premium
27,2024-01-16 07:00:00,2024-01-16 11:15:00,motorcycle,B014,Downtown Plaza,255,5.10,mobile_app,premium
28,2024-01-16 07:15:00,2024-01-16 08:45:00,car,C029,Shopping Mall,90,4.50,cash,regular
29,2024-01-16 07:30:00,2024-01-16 17:45:00,car,A009,Downtown Plaza,615,24.60,credit_card,regular
30,2024-01-16 07:45:00,2024-01-16 12:00:00,bicycle,D052,University Campus,255,0.00,free,student
31,2024-01-16 08:00:00,2024-01-16 20:15:00,car,E027,Airport Terminal,735,50.00,credit_card,regular
32,2024-01-16 08:15:00,2024-01-16 16:45:00,van,B006,Shopping Mall,510,20.40,mobile_app,business
33,2024-01-16 08:30:00,2024-01-16 09:45:00,motorcycle,C016,Downtown Plaza,75,1.50,mobile_app,premium
34,2024-01-16 09:00:00,2024-01-16 18:30:00,car,D035,University Campus,570,11.40,student_card,student
35,2024-01-16 09:15:00,2024-01-16 15:00:00,truck,F014,Industrial Zone,345,17.25,credit_card,business
36,2024-01-16 09:30:00,2024-01-16 11:45:00,car,A017,Downtown Plaza,135,6.75,mobile_app,premium
37,2024-01-16 10:00:00,2024-01-16 15:30:00,car,G043,Hospital,330,16.50,credit_card,regular
38,2024-01-16 10:15:00,2024-01-16 12:30:00,bicycle,D057,University Campus,135,0.00,free,student
39,2024-01-16 10:30:00,2024-01-16 22:45:00,car,E033,Airport Terminal,735,50.00,mobile_app,regular
40,2024-01-16 11:00:00,2024-01-16 17:15:00,car,B024,Shopping Mall,375,15.00,credit_card,regular
41,2024-01-16 11:15:00,2024-01-16 12:00:00,motorcycle,C007,Downtown Plaza,45,0.90,mobile_app,premium
42,2024-01-16 11:30:00,2024-01-16 19:45:00,van,F020,Industrial Zone,495,24.75,credit_card,business
43,2024-01-16 12:00:00,2024-01-16 16:30:00,car,A025,Downtown Plaza,270,13.50,cash,regular
44,2024-01-16 12:15:00,2024-01-16 14:45:00,car,G030,Hospital,150,7.50,mobile_app,regular
45,2024-01-16 12:30:00,2024-01-16 13:15:00,bicycle,D049,University Campus,45,0.00,free,student
46,2024-01-16 13:00:00,2024-01-16 21:30:00,car,E021,Airport Terminal,510,35.00,credit_card,regular
47,2024-01-16 13:15:00,2024-01-16 18:00:00,car,B037,Shopping Mall,285,11.40,mobile_app,regular
48,2024-01-16 13:30:00,2024-01-16 15:00:00,motorcycle,C013,Downtown Plaza,90,1.80,mobile_app,premium
49,2024-01-16 14:00:00,2024-01-16 17:45:00,truck,F027,Industrial Zone,225,11.25,credit_card,business
50,2024-01-16 14:15:00,2024-01-16 16:15:00,car,D041,University Campus,120,2.40,student_card,student
51,2024-01-17 07:00:00,2024-01-17 17:15:00,car,A003,Downtown Plaza,615,24.60,mobile_app,premium
52,2024-01-17 07:15:00,2024-01-17 11:30:00,motorcycle,B013,Downtown Plaza,255,5.10,mobile_app,premium
53,2024-01-17 07:30:00,2024-01-17 09:00:00,car,C031,Shopping Mall,90,4.50,cash,regular
54,2024-01-17 07:45:00,2024-01-17 18:00:00,car,A011,Downtown Plaza,615,24.60,credit_card,regular
55,2024-01-17 08:00:00,2024-01-17 12:15:00,bicycle,D054,University Campus,255,0.00,free,student
56,2024-01-17 08:15:00,2024-01-17 20:30:00,car,E029,Airport Terminal,735,50.00,credit_card,regular
57,2024-01-17 08:30:00,2024-01-17 17:00:00,van,B004,Shopping Mall,510,20.40,mobile_app,business
58,2024-01-17 08:45:00,2024-01-17 10:00:00,motorcycle,C014,Downtown Plaza,75,1.50,mobile_app,premium
59,2024-01-17 09:00:00,2024-01-17 18:45:00,car,D037,University Campus,585,11.70,student_card,student
60,2024-01-17 09:15:00,2024-01-17 15:15:00,truck,F016,Industrial Zone,360,18.00,credit_card,business
61,2024-01-17 09:30:00,2024-01-17 12:00:00,car,A019,Downtown Plaza,150,7.50,mobile_app,premium
62,2024-01-17 10:00:00,2024-01-17 15:45:00,car,G045,Hospital,345,17.25,credit_card,regular
63,2024-01-17 10:15:00,2024-01-17 12:45:00,bicycle,D059,University Campus,150,0.00,free,student
64,2024-01-17 10:30:00,2024-01-17 23:00:00,car,E035,Airport Terminal,750,52.50,mobile_app,regular
65,2024-01-17 11:00:00,2024-01-17 17:30:00,car,B026,Shopping Mall,390,15.60,credit_card,regular
66,2024-01-17 11:15:00,2024-01-17 12:15:00,motorcycle,C009,Downtown Plaza,60,1.20,mobile_app,premium
67,2024-01-17 11:30:00,2024-01-17 20:00:00,van,F022,Industrial Zone,510,25.50,credit_card,business
68,2024-01-17 12:00:00,2024-01-17 16:45:00,car,A027,Downtown Plaza,285,14.25,cash,regular
69,2024-01-17 12:15:00,2024-01-17 15:00:00,car,G032,Hospital,165,8.25,mobile_app,regular
70,2024-01-17 12:30:00,2024-01-17 13:30:00,bicycle,D051,University Campus,60,0.00,free,student
71,2024-01-17 13:00:00,2024-01-17 22:00:00,car,E023,Airport Terminal,540,37.80,credit_card,regular
72,2024-01-17 13:15:00,2024-01-17 18:15:00,car,B039,Shopping Mall,300,12.00,mobile_app,regular
73,2024-01-17 13:30:00,2024-01-17 15:15:00,motorcycle,C015,Downtown Plaza,105,2.10,mobile_app,premium
74,2024-01-17 14:00:00,2024-01-17 18:00:00,truck,F029,Industrial Zone,240,12.00,credit_card,business
75,2024-01-17 14:15:00,2024-01-17 16:30:00,car,D043,University Campus,135,2.70,student_card,student
76,2024-01-18 07:15:00,2024-01-18 17:30:00,car,A005,Downtown Plaza,615,24.60,mobile_app,premium
77,2024-01-18 07:30:00,2024-01-18 11:45:00,motorcycle,B011,Downtown Plaza,255,5.10,mobile_app,premium
78,2024-01-18 07:45:00,2024-01-18 09:15:00,car,C033,Shopping Mall,90,4.50,cash,regular
79,2024-01-18 08:00:00,2024-01-18 18:15:00,car,A013,Downtown Plaza,615,24.60,credit_card,regular
80,2024-01-18 08:15:00,2024-01-18 12:30:00,bicycle,D056,University Campus,255,0.00,free,student
81,2024-01-18 08:30:00,2024-01-18 20:45:00,car,E031,Airport Terminal,735,50.00,credit_card,regular
82,2024-01-18 08:45:00,2024-01-18 17:15:00,van,B002,Shopping Mall,510,20.40,mobile_app,business
83,2024-01-18 09:00:00,2024-01-18 10:15:00,motorcycle,C012,Downtown Plaza,75,1.50,mobile_app,premium
84,2024-01-18 09:15:00,2024-01-18 19:00:00,car,D039,University Campus,585,11.70,student_card,student
85,2024-01-18 09:30:00,2024-01-18 15:30:00,truck,F018,Industrial Zone,360,18.00,credit_card,business
86,2024-01-18 10:00:00,2024-01-18 12:15:00,car,A021,Downtown Plaza,135,6.75,mobile_app,premium
87,2024-01-18 10:15:00,2024-01-18 16:00:00,car,G047,Hospital,345,17.25,credit_card,regular
88,2024-01-18 10:30:00,2024-01-18 13:00:00,bicycle,D061,University Campus,150,0.00,free,student
